genre,sub_genre,artist,album,song,Qu,Gr,Vi,Ro,Sa,Gl,Rx,Cl,Lu
Rock,Alternative,4 Non Blondes,"Bigger, Better, Faster, More!",What's Up,"8,75","8,5",,"8,7",,,,,
Pop,Synth,A-Ha,Hunting High and Low,Take on Me,8,,,9,,,,,
Pop,Disco,Abba,Abba,"I do, I do, I do, I do, I do",8,"8,5",5,8,,,,,5
Pop,Disco,Abba,Abba,Mamma Mia,"8,5","8,75","6,5","8,3",,6,,,
Pop,Disco,Abba,Abba,SOS,9,9,7,"8,4",,"6,25",,,
Pop,Disco,Abba,Arrival,"Knowing me, knowing you","7,5","8,5","5,5","6,5",,,,,
Disco,,Abba,Super Trouper,Happy New Year,,"7,5",,,,,,,
Pop,Disco,Abba,Super Trouper,Lay all your love on me,8,"8,5",4,"8,5",,,,,
Disco,,Abba,Super Trouper,Me And I,"8,25","8,75",,,,,,,
Pop,Disco,Abba,Super Trouper,Super Trouper,8,9,"6,5","7,1",,,,,
Disco,,Abba,Super Trouper,The Piper,,8,,,,,,,
Pop,Disco,Abba,Super Trouper,The winner takes it all,"8,75",9,"6,5","8,3",,"6,77",,,
Pop,Disco,Abba,The Album,Take a chance on me,"8,75","8,75",7,"6,8",,,,,
Disco,,Abba,Voulez-Vous,Angeleyes,,"8,5",,,,,,,
Pop,Disco,Abba,Waterloo,Waterloo,"7,75","8,5",6,"8,3",,"6,5",,,
Rock,Hard Rock,AC/DC,Back in Black,Hells Bells,"7,75",,,"8,5",,,,,
Rock,Hard Rock,AC/DC,Dirty Deeds Done Dirt Cheap,Jailbreak,"8,25","6,5",,"7,3",,,,,
Rock,Hard Rock,AC/DC,High Voltage,T.N.T.,"8,25",,8,8,,,,,
Rock,Hard Rock,AC/DC,Highway to Hell,Highway to Hell,"8,5",,"6,5","8,1",,,,,
Rock,Hard Rock,AC/DC,Highway to Hell,Touch Too Much,"7,25",,,,,,,,
Rock,Hard Rock,AD/DC,The Razor's Edge,Thunderstruck,"7,5",,,,,,,,
Rock,,Aerosmith,Toys In The Attic,Sweet Emotion,,9,,,,,,,
Rock,Hard Rock,Aerosmith,Toys in the Attic,Walk This Way,"8,25",8,,,,,,,
Rock,Hard Rock,Alice Cooper,Billion Dollar Babies,No More Mr. Nice Guy,"7,75",,,,,,,,
Rock,Heavy Metal,Alice Cooper,Hey Stoopid,Feed My Frankenstein,"8,25",,,,,,,,
Rock,Heavy Metal,Alice Cooper,Hey Stoopid,Hey Stoopid,"8,5",,,,,,,,
Rock,Hard Rock,Alice Cooper,Love It to Death,I'm Eighteen,"8,25",,,,,,,,
Rock,Hard Rock,Alice Cooper,School's Out,School's Out,"7,5",8,,"8,7",,,,,
Metal,Glam,Alice Cooper,Trash,Poison,9,,,9,,,,,
Metal,Grunge,Alice in Chains,Dirt,Angry Chair,"8,5",9,7,"7,4",,"7,25",,,
Metal,Grunge,Alice in Chains,Dirt,Dam That River,7,9,6,"7,5",,"7,25",,,
Metal,Grunge,Alice in Chains,Dirt,Dirt,7,"8,5","7,5",,,8,,,
Metal,Grunge,Alice in Chains,Dirt,Down In a Hole,"6,5","7,5","7,5",,,"7,5",,,
Metal,Grunge,Alice in Chains,Dirt,God Smack,"6,5",8,"6,5",,,7,,,
Metal,Grunge,Alice in Chains,Dirt,Hate to feel,8,7,"7,5",,,"8,75",,,
Metal,Grunge,Alice in Chains,Dirt,Junkhead,"6,5","6,5",6,,,"7,75",,,
Metal,Grunge,Alice in Chains,Dirt,Rain when I die,"7,5",7,6,,,8,,,
Metal,Grunge,Alice in Chains,Dirt,Rooster,8,"8,5","8,5",,,8,,,
Metal,Grunge,Alice in Chains,Dirt,Sickman,"7,5",7,5,,,"7,25",,,
Metal,Grunge,Alice in Chains,Dirt,Them Bones,"7,5",9,"6,5","7,5",,7,,,
Metal,Grunge,Alice in Chains,Dirt,Untitled,7,6,"5,5",,,"7,5",,,
Metal,Grunge,Alice in Chains,Dirt,Would?,"7,5","8,5",8,,,7,,,
Rock,Hard Rock,Alien Ant Farm,ANThologie,Smooth Criminal,"6,5","8,25","3,5",,,,,,
Hip-Hop,Rap,"Alkpote, Vald",N/A,Plus haut - Les marches de l'empereur Saison 3 / épisode 1,7,,7,,,"7,5",,,8
Rock,Indie,alt-J,An Awesome Wave,Breezeblocks,"8,75",,8,9,,,,,
Metal,Melodic Death,Amon Amarth,Berserker,Crack the Sky,"8,5","8,5","6,5",,,,,,
Metal,Viking,Amon Amarth,Berserker,Fafner's Gold,"8,25",,,,,,,,
Metal,Melodic Death,Amon Amarth,Berserker,Raven's Flight,"8,5","8,5","8,5",,,,,,
Metal,Melodic Death,Amon Amarth,Fate of Norns,The Pursuit Of Vikings,"8,25","8,5","6,5","8,8",,,,,
Metal,Melodic Death,Amon Amarth,Jomsviking,Raise Your Horns,9,9,"6,5","8,75",,,,,
Metal,Death,Amon Amarth,The Crusher,Masters Of War,"7,5",,5,,,,,,
Metal,Melodic Death,Amon Amarth,Twilight Of The Thunder God,Twilight Of The Thunder God,9,"8,75","6,75",9,,,,,
Rock,Indie,Andrew Bird,"Things Are Really Great Here, Sort Of…",Tin Foiled,6,,"7,5",,,,,,
Metal,Instrumental Djent,Animals As Leaders,Animals As Leaders,Cafo,,"8,25",,,,,,,
Metal,Instrumental Djent,Animals As Leaders,The Joy of Motion,Kascade,,"8,7",,,,,,,
Metal,Instrumental Djent,Animals As Leaders,The Joy of Motion,Physical Education,"7,75","8,75","7,5",,,,,,
Metal,Instrumental Djent,Animals As Leaders,The Joy of Motion,The Woven Web,,"8,5",,,,,,,
Metal,,Annihilator,Armed To The Teeth,Armed To The Teeth,"6,75",,,,,,,,
Metal,Melodic Death,Arch Enemy,Anthems of Rebellion,Silent Wars,"7,5",,6,,,,,,
Metal,Melodic Death,Arch Enemy,Will to Power,First Day in Hell,8,"8,25",4,8,,,,,
Metal,Melodic Death,Arch Enemy,Will To Power,Saturnine,5,,6,,,,,,
Rock,Alternative,Audioslave,Audioslave,Like a Stone,"7,75",,,,,,,,
Rock,Hard Rock,Audioslave,Audioslave,Show Me How to Live,9,"7,75",8,"8,5",,,,Q?,
Metal,Alternative,Audioslave,Out of Exile,#1 Zero,"8,75",8,5,"8,6",,,,,
Rock,Alternative,Audioslave,Revelations,Jewel Of The Summertime,"8,25","7,75",6,"7,4",,,,,
Jazz,Fusion,Auracle,City Slickers,Bombs Away Ballet,"8,25",,8,,,,,,
Jazz,Fusion,Auracle,City Slickers,City of Penetrating Light,"7,75",,8,,,,,,
Jazz,Fusion,Auracle,City Slickers,Honey,"7,75",,8,,,,,,
Jazz,Fusion,Auracle,City Slickers,Little City Slickers,"8,25",,7,,,,,,
Jazz,Fusion,Auracle,City Slickers,Rotary Andy's Raggedy,"8,75",,8,,,,,,
Jazz,Fusion,Auracle,City Slickers,Sambanana,"7,25",,"8,25",,,,,,
Jazz,Fusion,Auracle,City Slickers,Tied Shoes,8,,8,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,A Little Piece of Heaven,,"8,5",,"8,7",,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Afterlife,6,"8,25",,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Almost Easy,"7,25",7,,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Brompton Cocktail,,"7,75",,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Critical Acclaim,6,8,,9,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Dear God,,1,,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Gunslinger,5,"7,25",,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Lost,,"7,5",,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Scream,"6,75","7,5",,,,,,,
Metal,Heavy Metal,Avenged Sevenfold,Avenged Sevenfold,Unbound (The Wild Ride),,"7,25",,,,,,,
Pop,Soft Rock,B.J. Thomas,Rain Drops Keep Fallin' On My Head,Rain Drops Keep Falling on My Head,"8,75",,9,,,"8,25",,,
Metal,Power,Battle Beast,Bringer of Pain,King For A Day,"8,75",,9,"9,5",,,,,
Disco,Funk,Bee Gees,Main Course,Jive Talkin',"7,75",,,,,,,,
Disco,,Bee Gees,Saturday Night Fever,Stayin' Alive,"9,25",,,"7,9",,,,,
Blues,Rock,Benjamin Booker,The Man in the High Castle,Spoonful,"7,5",,,,,,,,
Chanson,,Bertignac Et Les Visiteurs,Bertignac et les Visiteurs,Ces idées-là,,9,,,,,,,
R&B,Soul,Bill Withers,Just as I am,Ain't No Sunshine,"8,75",,9,,,"8,75",8,,
Rock,Punk,Billy Talent,Billy Talent II,Fallen Leaves,8,,,,,,,,
Rock,Punk,Billy Talent,Billy Talent II,Red Flag,"8,25",,7,"8,8",,,,Q?,
Metal,Stoner,Black Sabbath,Black Sabbath,Behind the Wall of Sleep,"7,75",,,,,,,,
Metal,Doom,Black Sabbath,Black Sabbath,Black Sabbath,"8,5","8,75",,,,"7,25",,,
Metal,Blues,Black Sabbath,Black Sabbath,Evil Woman,"7,5",,,,,,,,
Metal,Stoner,Black Sabbath,Black Sabbath,N.I.B,9,9,,"7,7",,Q?,,,
Metal,,Black Sabbath,Black Sabbath,Sleeping Village,"7,75",,,,,,,,
Metal,Blues,Black Sabbath,Black Sabbath,The Wizard,8,,,,,"7,5",,,
Metal,Blues,Black Sabbath,Black Sabbath,Warning,7,,,,,,,,
Metal,Heavy Metal,Black Sabbath,Heaven & Hell,Heaven and Hell,9,"8,5",,"8,1",,,,,
Metal,Doom,Black Sabbath,Master of Reality,Into the Void,"7,75",,,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Electric Funeral,"8,5","8,5",,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Fairies Wear Boots,"7,75","7,5",,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Hand of Doom,"8,25","7,75",,,,,,,
