,Acapella,Acoustic,Blues,Chanson,Classique,Country,Dance,Disco,Electro,Folk,Funk,Hip-Hop,Jazz,Metal,Musical,OST,Pop,R&B,Reggae,Rock
Acapella,10,,,,,,"3,25",,,,,,,1,,,,,,
Acoustic,,10,,,,,,,,,,,,,,,,,,
Blues,,,10,,,,2,,,,"3,5",,,,,,,,,
Chanson,,,,10,,,,,,,,,,,,,,,,
Classique,,,,,10,,,,,,,,,,,,,,,
Country,,,,,,10,,,,,,,,,,,,,,
Dance,"3,25",,2,,,,10,,,,,,,,,,,,,
Disco,,,,,,,,10,,,,,,1,,,,,,"5,75"
Electro,,,,,,,,,10,,,,,,,,,,,
Folk,,,,,,,,,,10,,,,,,,,,,
Funk,,,"3,5",,,,,,,,10,,,2,,,,,,
Hip-Hop,,,,,,,,,,,,10,,,,,,,,
Jazz,,,,,,,,,,,,,10,1,,,,,,"7,5"
Metal,1,,,,,,,1,,,2,,1,10,,2,,,,"4,8"
Musical,,,,,,,,,,,,,,,10,,,,,
OST,,,,,,,,,,,,,,2,,10,,,,
Pop,,,,,,,,,,,,,,,,,10,,,
R&B,,,,,,,,,,,,,,,,,,10,,
Reggae,,,,,,,,,,,,,,,,,,,10,
Rock,,,,,,,,"5,75",,,,,"7,5","4,8",,,,,,10
